route,template,lang,viewport,width,height,overflow_px,console_errors,status
/en/pereira-tech-day,ptd-landing,en,phone-standard,375,667,0,0,ok
/pereira-tech-day,ptd-landing,es,phone-standard,375,667,0,0,ok
/en/pereira-tech-days/2024,ptd-edition,en,phone-standard,375,667,0,0,ok
/pereira-tech-days/2024,ptd-edition,es,phone-standard,375,667,0,0,ok
/en/pereira-tech-days/2026,ptd-edition,en,phone-standard,375,667,0,0,ok
/en/speakers,speakers-list,en,phone-standard,375,667,0,0,ok
/speakers,speakers-list,es,phone-standard,375,667,0,0,ok
/verticals,verticals-list,es,phone-standard,375,667,0,0,ok
/en/slides,slides-catalog,en,phone-standard,375,667,0,0,ok
/slides,slides-catalog,es,phone-standard,375,667,0,0,ok
/en/blog/series,blog-series-listing,en,phone-standard,375,667,0,0,ok
/blog/series,blog-series-listing,es,phone-standard,375,667,0,0,ok
/en/certificates/verify,certificate-verify,en,phone-standard,375,667,0,0,ok
/certificates/verify,certificate-verify,es,phone-standard,375,667,0,0,ok
/en/,home,en,phone-large,414,896,0,0,ok
/,home,es,phone-large,414,896,0,0,ok
/en/about,narrative-about,en,phone-large,414,896,0,0,ok
/about,narrative-about,es,phone-large,414,896,0,0,ok
/en/community,narrative-community,en,phone-large,414,896,0,0,ok
/community,narrative-community,es,phone-large,414,896,0,0,ok
/en/conduct,narrative-conduct,en,phone-large,414,896,0,0,ok
/conduct,narrative-conduct,es,phone-large,414,896,0,0,ok
/en/contributing,narrative-contributing,en,phone-large,414,896,0,0,ok
/en/governance,narrative-governance,en,phone-large,414,896,0,0,ok
/en/contact,form-contact,en,phone-large,414,896,0,0,ok
/contact,form-contact,es,phone-large,414,896,0,0,ok
/en/call-for-speakers,form-call-for-speakers,en,phone-large,414,896,0,0,ok
/call-for-speakers,form-call-for-speakers,es,phone-large,414,896,0,0,ok
/en/sponsor-us,form-sponsor-us,en,phone-large,414,896,0,0,ok
/en/channels,channels,en,phone-large,414,896,0,0,ok
/en/press,press,en,phone-large,414,896,0,0,ok
/en/sponsors,sponsors,en,phone-large,414,896,0,0,ok
/en/contributors,contributors,en,phone-large,414,896,0,0,ok
/en/verticals,verticals-list,en,phone-large,414,896,0,0,ok
/en/verticals/speaker-school,verticals-detail,en,phone-large,414,896,0,0,ok
/en/verticals/library-of-tomorrow,verticals-detail,en,phone-large,414,896,0,0,ok
/en/verticals/ai-channel,verticals-detail,en,phone-large,414,896,0,0,ok
/en/blog,blog-listing,en,phone-large,414,896,0,0,ok
/blog,blog-listing,es,phone-large,414,896,0,0,ok
/en/blog/what-is-pereira-tech-talks,blog-post-banner,en,phone-large,414,896,0,1,http_404
/blog/what-is-pereira-tech-talks,blog-post-banner,es,phone-large,414,896,0,1,http_404
/en/blog/my-experience-at-digital-product-school,blog-post-banner,en,phone-large,414,896,0,0,ok
/blog/my-experience-at-digital-product-school,blog-post-banner,es,phone-large,414,896,0,0,ok
/en/blog/quarantine-tech-talks,blog-post-embeds,en,phone-large,414,896,0,0,ok
/en/meetups,meetups-list,en,phone-large,414,896,0,0,ok
/meetups,meetups-list,es,phone-large,414,896,0,0,ok
/en/meetups/september-meetup-2026,meetup-detail-planned,en,phone-large,414,896,0,0,ok
/meetups/september-meetup-2026,meetup-detail-planned,es,phone-large,414,896,0,0,ok
/en/meetups/qa-pilar-del-software,meetup-detail-archive,en,phone-large,414,896,0,0,ok
/meetups/qa-pilar-del-software,meetup-detail-archive,es,phone-large,414,896,0,0,ok
/en/pereira-tech-day,ptd-landing,en,phone-large,414,896,0,0,ok
/pereira-tech-day,ptd-landing,es,phone-large,414,896,0,0,ok
/en/pereira-tech-days/2024,ptd-edition,en,phone-large,414,896,0,0,ok
/pereira-tech-days/2024,ptd-edition,es,phone-large,414,896,0,0,ok
/en/pereira-tech-days/2026,ptd-edition,en,phone-large,414,896,0,0,ok
/en/speakers,speakers-list,en,phone-large,414,896,0,0,ok
/speakers,speakers-list,es,phone-large,414,896,0,0,ok
/verticals,verticals-list,es,phone-large,414,896,0,0,ok
/en/slides,slides-catalog,en,phone-large,414,896,0,0,ok
/slides,slides-catalog,es,phone-large,414,896,0,0,ok
/en/blog/series,blog-series-listing,en,phone-large,414,896,0,0,ok
/blog/series,blog-series-listing,es,phone-large,414,896,0,0,ok
/en/certificates/verify,certificate-verify,en,phone-large,414,896,0,0,ok
/certificates/verify,certificate-verify,es,phone-large,414,896,0,0,ok
/en/,home,en,phone-xl,430,932,0,0,ok
/,home,es,phone-xl,430,932,0,0,ok
/en/about,narrative-about,en,phone-xl,430,932,0,0,ok
/about,narrative-about,es,phone-xl,430,932,0,0,ok
/en/community,narrative-community,en,phone-xl,430,932,0,0,ok
/community,narrative-community,es,phone-xl,430,932,0,0,ok
/en/conduct,narrative-conduct,en,phone-xl,430,932,0,0,ok
/conduct,narrative-conduct,es,phone-xl,430,932,0,0,ok
/en/contributing,narrative-contributing,en,phone-xl,430,932,0,0,ok
/en/governance,narrative-governance,en,phone-xl,430,932,0,0,ok
/en/contact,form-contact,en,phone-xl,430,932,0,0,ok
/contact,form-contact,es,phone-xl,430,932,0,0,ok
/en/call-for-speakers,form-call-for-speakers,en,phone-xl,430,932,0,0,ok
/call-for-speakers,form-call-for-speakers,es,phone-xl,430,932,0,0,ok
/en/sponsor-us,form-sponsor-us,en,phone-xl,430,932,0,0,ok
/en/channels,channels,en,phone-xl,430,932,0,0,ok
/en/press,press,en,phone-xl,430,932,0,0,ok
/en/sponsors,sponsors,en,phone-xl,430,932,0,0,ok
/en/contributors,contributors,en,phone-xl,430,932,0,0,ok
/en/verticals,verticals-list,en,phone-xl,430,932,0,0,ok
/en/verticals/speaker-school,verticals-detail,en,phone-xl,430,932,0,0,ok
/en/verticals/library-of-tomorrow,verticals-detail,en,phone-xl,430,932,0,0,ok
/en/verticals/ai-channel,verticals-detail,en,phone-xl,430,932,0,0,ok
/en/blog,blog-listing,en,phone-xl,430,932,0,0,ok
/blog,blog-listing,es,phone-xl,430,932,0,0,ok
/en/blog/what-is-pereira-tech-talks,blog-post-banner,en,phone-xl,430,932,0,1,http_404
/blog/what-is-pereira-tech-talks,blog-post-banner,es,phone-xl,430,932,0,1,http_404
/en/blog/my-experience-at-digital-product-school,blog-post-banner,en,phone-xl,430,932,0,0,ok
/blog/my-experience-at-digital-product-school,blog-post-banner,es,phone-xl,430,932,0,0,ok
/en/blog/quarantine-tech-talks,blog-post-embeds,en,phone-xl,430,932,0,0,ok
/en/meetups,meetups-list,en,phone-xl,430,932,0,0,ok
/meetups,meetups-list,es,phone-xl,430,932,0,0,ok
/en/meetups/september-meetup-2026,meetup-detail-planned,en,phone-xl,430,932,0,0,ok
/meetups/september-meetup-2026,meetup-detail-planned,es,phone-xl,430,932,0,0,ok
/en/meetups/qa-pilar-del-software,meetup-detail-archive,en,phone-xl,430,932,0,0,ok
/meetups/qa-pilar-del-software,meetup-detail-archive,es,phone-xl,430,932,0,0,ok
/en/pereira-tech-day,ptd-landing,en,phone-xl,430,932,0,0,ok
/pereira-tech-day,ptd-landing,es,phone-xl,430,932,0,0,ok
/en/pereira-tech-days/2024,ptd-edition,en,phone-xl,430,932,0,0,ok
/pereira-tech-days/2024,ptd-edition,es,phone-xl,430,932,0,0,ok
/en/pereira-tech-days/2026,ptd-edition,en,phone-xl,430,932,0,0,ok
/en/speakers,speakers-list,en,phone-xl,430,932,0,0,ok
/speakers,speakers-list,es,phone-xl,430,932,0,0,ok
/verticals,verticals-list,es,phone-xl,430,932,0,0,ok
/en/slides,slides-catalog,en,phone-xl,430,932,0,0,ok
/slides,slides-catalog,es,phone-xl,430,932,0,0,ok
/en/blog/series,blog-series-listing,en,phone-xl,430,932,0,0,ok
/blog/series,blog-series-listing,es,phone-xl,430,932,0,0,ok
/en/certificates/verify,certificate-verify,en,phone-xl,430,932,0,0,ok
/certificates/verify,certificate-verify,es,phone-xl,430,932,0,0,ok
/en/,home,en,phone-landscape,667,375,0,0,ok
/,home,es,phone-landscape,667,375,0,0,ok
/en/about,narrative-about,en,phone-landscape,667,375,0,0,ok
/about,narrative-about,es,phone-landscape,667,375,0,0,ok
/en/community,narrative-community,en,phone-landscape,667,375,0,0,ok
/community,narrative-community,es,phone-landscape,667,375,0,0,ok
/en/conduct,narrative-conduct,en,phone-landscape,667,375,0,0,ok
/conduct,narrative-conduct,es,phone-landscape,667,375,0,0,ok
/en/contributing,narrative-contributing,en,phone-landscape,667,375,0,0,ok
/en/governance,narrative-governance,en,phone-landscape,667,375,0,0,ok
/en/contact,form-contact,en,phone-landscape,667,375,0,0,ok
/contact,form-contact,es,phone-landscape,667,375,0,0,ok
/en/call-for-speakers,form-call-for-speakers,en,phone-landscape,667,375,0,0,ok
/call-for-speakers,form-call-for-speakers,es,phone-landscape,667,375,0,0,ok
/en/sponsor-us,form-sponsor-us,en,phone-landscape,667,375,0,0,ok
/en/channels,channels,en,phone-landscape,667,375,0,0,ok
/en/press,press,en,phone-landscape,667,375,0,0,ok
/en/sponsors,sponsors,en,phone-landscape,667,375,0,0,ok
/en/contributors,contributors,en,phone-landscape,667,375,0,0,ok
/en/verticals,verticals-list,en,phone-landscape,667,375,0,0,ok
/en/verticals/speaker-school,verticals-detail,en,phone-landscape,667,375,0,0,ok
/en/verticals/library-of-tomorrow,verticals-detail,en,phone-landscape,667,375,0,0,ok
/en/verticals/ai-channel,verticals-detail,en,phone-landscape,667,375,0,0,ok
/en/blog,blog-listing,en,phone-landscape,667,375,0,0,ok
/blog,blog-listing,es,phone-landscape,667,375,0,0,ok
/en/blog/what-is-pereira-tech-talks,blog-post-banner,en,phone-landscape,667,375,0,1,http_404
/blog/what-is-pereira-tech-talks,blog-post-banner,es,phone-landscape,667,375,0,1,http_404
/en/blog/my-experience-at-digital-product-school,blog-post-banner,en,phone-landscape,667,375,0,0,ok
/blog/my-experience-at-digital-product-school,blog-post-banner,es,phone-landscape,667,375,0,0,ok
/en/blog/quarantine-tech-talks,blog-post-embeds,en,phone-landscape,667,375,0,0,ok
/en/meetups,meetups-list,en,phone-landscape,667,375,0,0,ok
/meetups,meetups-list,es,phone-landscape,667,375,0,0,ok
/en/meetups/september-meetup-2026,meetup-detail-planned,en,phone-landscape,667,375,0,0,ok
